city,building_street_index_sem,building_intersect_index_sem,building_corners_sem,building_squareness_sem,building_perimeter_sem,building_shape_index_sem,building_circular_compactness_sem,building_square_compactness_sem,building_weighted_axis_compactness_sem,building_convexity_sem,building_courtyard_area_sem,building_courtyard_index_sem,building_fractal_dimension_sem,building_facade_ratio_sem,building_orientation_sem,building_longest_axis_length_sem,building_equivalent_rectangular_index_sem,building_elongation_sem,building_rectangularity_sem,building_shared_walls_length_sem,building_perimeter_wall_sem,building_alignment_sem,building_adjacency_sem,building_mean_interbuilding_distance_sem,building_neighbour_distance_sem,building_courtyards_num_sem,building_street_alignment_sem,street_mm_len_sem,street_node_start_sem,street_node_end_sem,street_width_sem,street_openness_sem,street_width_dev_sem,street_orientation_sem,street_longest_axis_length_sem,street_compactness_weighted_axis_sem,street_linearity_sem,street_length_sem,street_stroke_id_sem,junction_x_sem,junction_y_sem,junction_degree_sem,junction_closeness_sem,junction_cluster_sem,junction_cyclomatic_sem,junction_edge_node_ratio_sem,junction_gamma_sem,junction_mean_nd_sem,junction_meanlen_sem,junction_meshedness_sem,junction_node_density_sem,junction_node_density_weighted_sem,junction_straightness_sem,junction_nodeID_sem
Ramat Gan,6.138246931322133,4.290506774077599,0.02422186900097763,0.059400403542070775,0.4040727522178157,0.0006309996920104363,0.0008755039409667615,0.0011626771671024048,0.1088997999429478,0.0004697851141952496,0.18086782672484614,6.546514021252417e-05,0.000254082363226681,0.013905098158747685,0.12062776063922598,0.13010439112589006,0.000530951748954548,0.0019392686830399287,0.0008247689476179822,0.0003641313746832258,0.7637511335996011,0.042481451999858755,0.0004498079740624338,0.07305609071332887,0.5416473368016148,0.0009702579946022062,0.08489675563864119,2.6143491317537633,9.375720213476736,9.576846440774968,0.2656604815942367,0.005222375127262421,0.04558365386687341,0.2608721788450863,2.395947315822787,3.050614869607641,0.0023344292839648155,2.6143491317537633,4.340918153630082,29.636846914284273,42.177583196139054,0.022682969938784044,1.4096284290729595e-06,0.0013587851390848267,0.15766212596745852,0.0027008864290870203,0.0008326130788736579,0.0060630237611606005,2.3251294440699715,0.001335046691481556,6.884365502764754e-05,0.00013652681596536238,0.002132830055239808,11.568635759385517
Rehovot,7.264317852332137,5.199569267837397,0.04069139162516441,0.05806868353241631,0.4595680472539949,0.0007459777553596224,0.0010278333819552996,0.0016186671496977723,0.13023879632874974,0.0007717292244490139,0.12770883868755772,7.941820912839535e-05,0.0003673784442017645,0.0164224570117995,0.12044323144696734,0.1554310016755215,0.0008791810310461386,0.002136097150444399,0.0012423492241572882,0.0002794883853371003,0.6293371882206834,0.04433223972484676,0.0005343406153840541,0.07448911355465117,0.4371668096617325,0.001237366995310963,0.08408508955166061,1.594877430461807,10.576344330597108,10.64607770930621,0.22295154382998839,0.00434898881935825,0.04459986728708777,0.22037473942575356,1.4806518701943772,1.885224513117556,0.0017853919960859656,1.594877430461807,5.048457834476862,30.599353868820938,21.779730172666337,0.01834277677548802,1.278797226893718e-06,0.0011336604195481949,0.13709613147863375,0.002280922817970205,0.0007004115405714675,0.004778693906904994,1.2075351394745049,0.0011197953840456603,6.108555262690427e-05,0.00010855222770762711,0.001714998262396911,12.767145334803704
Ashkelon,11.855102054769876,8.800459349444644,0.05623814207418596,0.07868818449090235,0.5727757624454548,0.0008749516165358287,0.0011856081198873664,0.0018618100463677868,0.16555276275188077,0.0009197038257399595,0.10016846650079081,3.8782087015370484e-05,0.00043036895327662467,0.020934586066070023,0.13279620216502996,0.19088522890110537,0.0010218847927465108,0.00217341918184288,0.0014311927533845704,0.0001457975686350798,0.5926088454500349,0.04944197855447787,0.00012601799696963876,0.15610962267357795,0.8470351114545549,0.0004024778170124801,0.102601659013919,1.656336988783763,14.469429434446187,14.287364637827629,0.15372658522312838,0.002968035551085655,0.03768306454638158,0.17912571205047428,1.5489285174862322,1.9721570404314805,0.0017197859032207453,1.656336988783763,7.777541133608211,22.234661654065096,31.16028527287733,0.013911682791773107,2.66690117787509e-07,0.0009651032237344484,0.08915246376715047,0.0017658789669609994,0.0005624424336666907,0.0036970972930139784,1.2359568128596465,0.0008890236007996333,5.196762239935626e-05,8.173034986145418e-05,0.0014073575288356375,16.743157806499145
Bat Yam,6.034970650038423,3.847703555968715,0.0518455020628098,0.08009531427830553,0.7656322972960532,0.0013515379657321666,0.0018303103640925794,0.0026089601464835814,0.22666376171324767,0.0010902269675363541,0.41250317754414173,0.00011757828002468368,0.0005448702092614179,0.030404568653976383,0.24240922160332,0.26586956489096053,0.0012659502451309195,0.0036999769331877846,0.001748523259932833,0.0010446453518369353,0.829174948574438,0.07481661675148106,0.0011174822561863947,0.19362089193084206,0.6191278509609323,0.0012104603211868577,0.17313869176536803,2.6320087368935363,6.791351777589707,7.071150850298642,0.3338336737560435,0.006709253773934644,0.0671123391171038,0.36879151403267024,2.349901634165329,2.9919876868570787,0.0024929954043928777,2.6320087368935363,3.1305350703277206,21.256461842332524,28.436777724910105,0.029168731739677108,1.4675182799352763e-06,0.0015282074437948847,0.24612778445947925,0.0038030870277712637,0.0011367398547561264,0.008018989968138174,2.0341496072756984,0.0018456289317772142,8.996143691600587e-05,0.00016872076351187931,0.0025557770705281818,8.674675786448736
Beit Shemesh,9.47711402290567,6.992223443311175,0.05534484629654973,0.07902118915067886,0.7580035367496385,0.0011428325337084573,0.001512656517646433,0.002126844295347313,0.24283508626881667,0.0009200448166190591,0.05152482763301866,4.0698884587173214e-05,0.0004655534972128203,0.025779682231981474,0.18564492611565322,0.27824131954501785,0.0010156690345751757,0.002953316415142923,0.0014989654789820347,0.0010381469792518333,0.7781374448031556,0.07536529828749677,0.0015494147123806278,0.1467095615552113,1.3631200296137853,0.0005342484374188746,0.1397115989435741,3.336047167482362,10.4335925091263,10.484602225017156,0.1863512969626526,0.0040928408455139075,0.05344821182168902,0.2576811625881125,2.927904726075369,3.7279240804561344,0.0025337310642294846,3.336047167482362,5.496546098479465,27.203763519648195,48.63882960049888,0.016517672935211582,2.5445196710307967e-06,0.001436237329721375,0.08787503133235924,0.002433906936999248,0.0008695019065189877,0.004565614266354416,2.431009612442933,0.0013264108592657988,7.86057111986539e-05,0.0001456415668488264,0.002186756189975466,12.298373876248842
Kfar Saba,6.669218906149724,4.762694833630737,0.02804610049134877,0.05583044791680646,0.6702577996345774,0.0009224769784117696,0.0012724766334594915,0.0018233237121518476,0.18385306159949097,0.000877508184688711,0.19511887695888308,9.715495455476947e-05,0.0003803580263038377,0.02276265415530633,0.15229897272593693,0.2175575895552041,0.0009180986988669268,0.0026445678505241485,0.0013061610265877686,3.781982327206892e-05,0.7017394122800554,0.0542139644329993,0.00010620636073052471,0.07719582951128241,0.8217038999571576,0.0009082781892401558,0.10982817787080028,2.0233091847259588,8.710584472832412,9.208700312876026,0.26759795505909517,0.0049585219505408245,0.05132133716623573,0.2859063991087685,1.8787913723782106,2.3921514716191847,0.002225591570587686,2.0233091847259588,4.548255507589614,39.1308042178718,21.593979349365675,0.024584630597088375,9.50938139143177e-07,0.0012886374496868754,0.15479403131362085,0.0027939644958904666,0.0009007924691445939,0.005997033497688125,1.4146756881722977,0.0014110518579760955,6.768027223242224e-05,0.00011531479918351535,0.0022591764355286087,10.622303579418794
Herzliya,7.836428055410691,5.55497336036831,0.03785625692365558,0.06642154516228796,0.428857356284412,0.0007053484912671276,0.0009697794019986043,0.0013759430185945882,0.11994755217678173,0.0006144633959774175,0.9070611144835462,0.00018274081441712245,0.0003157775061234043,0.014178024486574044,0.1170918729690417,0.13803295130391952,0.0006912019103402569,0.001985818280876437,0.0010053975258312766,0.0004507299217245985,0.5312891885297746,0.043261885074236194,0.0006264903858919764,0.08767166203249048,0.4450285175219805,0.0009582926263014541,0.09034824858048847,1.99238237908666,11.206544237346433,11.429548648948328,0.20574168751067398,0.004015631455597852,0.03972374131535753,0.22893509715439972,1.8475427479013369,2.35236448721665,0.001675911323127032,1.99238237908666,5.507375669603801,34.94062533473632,20.069212177314977,0.017964055739202206,1.0708324706292161e-06,0.0010078829265868386,0.12537040662423238,0.002281055541665821,0.0007230946735978912,0.004698395088081987,1.7853992293356036,0.0011429368521972338,8.119978831441282e-05,0.00014486631394625666,0.001798044694677286,13.589211407093007
Hadera,6.572558676221416,4.618067426088148,0.01977862146046471,0.040902591646334654,0.4924129336667967,0.0006589965499011168,0.0009150476934050405,0.0011473741035613483,0.12961243406308282,0.0004699062758451339,0.19281132736094875,4.5824886927359776e-05,0.00023864770278387472,0.01573219090664108,0.11551854437845643,0.15384192221425863,0.0004906696723991728,0.0020299123499515014,0.0007830970672799951,9.195958580481226e-05,0.48331682559872063,0.04342316405540213,4.064221372258208e-05,0.17131282183819382,0.8196797882898135,0.0006896724643579955,0.08774073626969842,4.288120790609488,10.470213772922092,10.552331783860057,0.2260524382215876,0.004303187546508115,0.04520199123636382,0.2313703129638566,3.8663584264550788,4.922800442682624,0.002074095079071013,4.288120790609488,5.144129262126056,46.27622263304835,28.205198707180564,0.01915032112526953,7.28635601383434e-07,0.0011928178647278769,0.1434554073362377,0.002391861626214966,0.0007312489511603232,0.004925505321959372,3.361589510163533,0.0011755815920441845,6.457801195393242e-05,0.00012040708670706544,0.0018267203185281852,12.463279397226612
Modiin,6.520632883587024,4.38611233041273,0.05456245337951634,0.09838992623156854,0.7172721067117925,0.0009962597591166925,0.0013574624572321725,0.0021385581285247443,0.20730480634566564,0.0011214413762133813,0.29396013011720956,0.0001740813658524173,0.00046906271055440423,0.01936309261709303,0.20820646573924823,0.21425492585664468,0.0011669560915648963,0.002592611528878128,0.0017930252541588237,0.0001868263865902046,0.7319958545192812,0.07724153722989678,0.00040742725898090527,0.07544486017764046,0.7314678904059047,0.0007687107471150785,0.1340050204332087,3.09531388657617,8.32366698427012,8.156814435909272,0.24920449625504335,0.005131200150078383,0.05538025868677624,0.32000506105590176,2.676132736937428,3.407358027629076,0.002646684099672121,3.09531388657617,4.1237803127905535,26.362044967657905,31.037212494230136,0.019014846480391118,2.6215010154685843e-06,0.0015353942287661205,0.19135852809684178,0.0025522214708271723,0.0007884246921186584,0.005596901057651834,2.3834653851051266,0.0012438009060217773,0.00010453714261442658,0.00020384294907796816,0.002039250730391859,10.045728777279757
Nazareth,4.6758626768304214,3.811777986194001,0.025803775514614748,0.07062231861688589,0.45258714702084346,0.0007669795494179463,0.0010593137555909246,0.0014529571485750999,0.12945179430506543,0.0006765112679396324,0.1205887018178962,8.164008078436596e-05,0.0003249248525330425,0.01346714217502087,0.18587969001325697,0.14113617222659333,0.0007229920656640748,0.0023004572946143235,0.0012357517836558884,5.0355344939461524e-05,0.44806019372460526,0.06171015478016871,5.659555365467535e-05,0.09193481223450246,0.44042406945387574,0.0005143835463383193,0.13982701077316192,3.478102936228734,8.205577742584323,8.245207478823481,0.33462173077893265,0.0056108201910911966,0.0768351395434162,0.3560973059221484,2.978797538094308,3.7927228212614197,0.003422787855188677,3.478102936228734,4.117131774931354,21.10850030644658,34.514779051361145,0.028150623076695372,1.561162483959208e-06,0.001437785381475006,0.16754496653401796,0.003357657622070044,0.001042611720914003,0.00697203214226284,2.939072310296676,0.0016669463323944896,0.00014871949210965745,0.0002723613083880104,0.0030480902838285915,9.491224016602567
