Cluster,Metric,Flexibility Score
2,circular_compactness,0.49441835175824916
2,facade_ratio,0.4943144007230564
2,elongation,0.4923892169868044
2,square_compactness,0.4917581834055994
2,fractal_dimension,0.48842063575078687
2,neighbour_distance,0.4838286390863311
2,weighted_axis_compactness,0.4826548429621046
2,alignment,0.47723151483328163
2,street_alignment,0.4737209740825618
2,orientation,0.46678532463674544
2,corners,0.45510646805272037
2,squareness,0.35479184834256255
2,courtyards_num,0.14710977860271432
2,shared_walls_length,0.14450878355221583
2,courtyard_area,0.09748504323908497
2,courtyard_index,0.05040796959957334
9,Area,0.9880330920667624
9,perimeter,0.5636889094146613
9,perimeter_wall,0.5631193967415357
9,neighbour_distance,0.5279840371688397
9,orientation,0.526005684027619
9,mean_interbuilding_distance,0.5197326577435738
9,longest_axis_length,0.5176893354586327
9,street_alignment,0.5133628740244102
9,weighted_axis_compactness,0.5076734507745113
9,alignment,0.5051530996249878
9,adjacency,0.5000179457794048
9,equivalent_rectangular_index,0.4998032353358746
9,square_compactness,0.4995572995599966
9,rectangularity,0.4994013778612993
9,shape_index,0.49928604674757837
9,circular_compactness,0.4989728287821801
9,facade_ratio,0.49841761912086574
9,elongation,0.49688476226409023
9,fractal_dimension,0.4966654731594313
9,corners,0.48405587639677844
9,squareness,0.366365744645834
9,shared_walls_length,0.0503323212504838
9,courtyard_area,0.02219541863801193
9,courtyards_num,0.015804096212883745
9,courtyard_index,0.0
4,Area,0.9459938738789173
4,perimeter_wall,0.5222276601044602
4,perimeter,0.5079766538687877
4,adjacency,0.5000016273035316
4,mean_interbuilding_distance,0.49870010070546616
4,equivalent_rectangular_index,0.4967220052629568
4,shape_index,0.49620535306951835
4,rectangularity,0.49618562143626066
4,circular_compactness,0.4928092598754972
4,square_compactness,0.4917444226374023
4,elongation,0.4906667763723329
4,neighbour_distance,0.49034598176976507
4,fractal_dimension,0.4898806806956337
4,facade_ratio,0.48779808464056296
4,longest_axis_length,0.4874211147180333
4,alignment,0.48323598099917386
4,weighted_axis_compactness,0.47666040215631356
4,orientation,0.47650542474102464
4,street_alignment,0.46940913943545853
4,corners,0.45577597351473903
4,squareness,0.3757796790872567
4,shared_walls_length,0.2010815893926893
4,courtyards_num,0.12784415084469283
4,courtyard_area,0.09833791115260473
4,courtyard_index,0.07450110472340024
0,Area,0.9839941025227429
0,perimeter_wall,0.5506934168064771
0,perimeter,0.5495616834107363
0,longest_axis_length,0.511678231529914
0,mean_interbuilding_distance,0.5054023915130168
0,neighbour_distance,0.5050181291340881
0,orientation,0.5018274937340973
0,weighted_axis_compactness,0.5009116767435507
0,adjacency,0.500028947245637
0,equivalent_rectangular_index,0.49984242049432687
0,square_compactness,0.49935043205067847
0,shape_index,0.4993178535174852
0,rectangularity,0.498943168157129
0,circular_compactness,0.4988190313317662
0,facade_ratio,0.49760203031943206
0,elongation,0.4970558473008264
0,fractal_dimension,0.4949921038930461
0,alignment,0.48686699866608085
0,street_alignment,0.48110570266357305
0,corners,0.4798838285336791
0,squareness,0.3641323584619004
0,shared_walls_length,0.0820882361617465
0,courtyards_num,0.02510967262799539
0,courtyard_area,0.019344261025170964
0,courtyard_index,0.0
1,Area,0.9842958511680314
1,perimeter_wall,0.5531797481317614
1,perimeter,0.5477611009439879
1,longest_axis_length,0.5125332032958172
1,neighbour_distance,0.510621818087786
1,mean_interbuilding_distance,0.5076247076884272
1,orientation,0.5023879872674843
1,weighted_axis_compactness,0.5020870714839984
1,adjacency,0.5000213124330155
1,equivalent_rectangular_index,0.49953910722114625
1,rectangularity,0.4991828205682788
1,square_compactness,0.49868919763861486
1,shape_index,0.4985900117895572
1,circular_compactness,0.4977632319732307
1,fractal_dimension,0.497429430013632
1,facade_ratio,0.49687537458799086
1,elongation,0.4959609768316187
1,alignment,0.4943026311736032
1,street_alignment,0.49204798132428745
1,corners,0.47730560257098253
1,squareness,0.38026164299248255
1,shared_walls_length,0.15189905459984782
1,courtyards_num,0.05693848549419432
1,courtyard_area,0.0007557559124418223
1,courtyard_index,0.0
5,Area,0.9771947674423894
5,perimeter_wall,0.5737545469498367
5,perimeter,0.542243539242611
5,neighbour_distance,0.5176822698737392
5,mean_interbuilding_distance,0.5101394452173732
5,longest_axis_length,0.5074300698843466
5,adjacency,0.5000236551473638
